# Syntax
i: (sentence)
u: (context)
e: (verb)
a: (object)
o: (group)

# Category
ti: thing
ma: person
ki: place
te: time
ko: number

# Quantity
ni: single
pa: pair
mu: many
sa: all

# Relation
su: up
fo: front
ka: side
le: in
to: towards
ne: near

# Quality
fi: heavy
pu: wet
fa: warm
no: clean
li: good
lo: alive

# Shape
la: large
po: smooth
pi: round
pe: open

# Sense
si: light
se: sound
fu: air
so: touch
mi: food
fe: emotion

# Action
mo: move
ta: change
tu: use
ku: carry
nu: start
lu: repeat

# Modifier
na: not
ke: what
me: maybe
